guionistas,titulo,pais,votos,votacion,nota
Pedro Almodóvar,Mujeres al borde de un ataque de nervios ,España,50871.0,7.0,9
Sergio Leone,Érase una vez en América ,Estados Unidos,57469.0,8.3,9
Leonardo Benevenuti,Érase una vez en América ,Estados Unidos,57469.0,8.3,9
Piero de Bernardi,Érase una vez en América ,Estados Unidos,57469.0,8.3,9
Enrico Medioli,Érase una vez en América ,Estados Unidos,57469.0,8.3,9
Franco Arcalli,Érase una vez en América ,Estados Unidos,57469.0,8.3,9
Franco Ferrini,Érase una vez en América ,Estados Unidos,57469.0,8.3,9
Tim Burton,Vincent (C),Estados Unidos,20065.0,7.6,9
Stanley Kubrick,El resplandor ,Reino Unido,147746.0,8.2,9
Diane Johnson,El resplandor ,Reino Unido,147746.0,8.2,9
Stephen King,El resplandor ,Reino Unido,147746.0,8.2,9
John Carpenter,La niebla ,Estados Unidos,8395.0,6.2,9
Debra Hill,La niebla ,Estados Unidos,8395.0,6.2,9
John Milius,Apocalypse Now ,Estados Unidos,107140.0,8.2,9
Francis Ford Coppola,Apocalypse Now ,Estados Unidos,107140.0,8.2,9
Joseph Conrad,Apocalypse Now ,Estados Unidos,107140.0,8.2,9
Richard Tuggle,Fuga de Alcatraz ,Estados Unidos,34141.0,7.6,9
J. Campbell Bruce,Fuga de Alcatraz ,Estados Unidos,34141.0,7.6,9
Deric Washburn,El cazador ,Estados Unidos,49808.0,8.0,9
Deric Washburn,El cazador ,Estados Unidos,49808.0,8.0,9
Michael Cimino,El cazador ,Estados Unidos,49808.0,8.0,9
Louis Garfinkle,El cazador ,Estados Unidos,49808.0,8.0,9
Quinn K. Redeker,El cazador ,Estados Unidos,49808.0,8.0,9
Roman Polanski,El quimérico inquilino ,Francia,13806.0,7.5,9
Gérard Brach,El quimérico inquilino ,Francia,13806.0,7.5,9
Roland Topor,El quimérico inquilino ,Francia,13806.0,7.5,9
Peter Benchley,Tiburón ,Estados Unidos,121946.0,7.1,9
Carl Gottlieb,Tiburón ,Estados Unidos,121946.0,7.1,9
Peter Benchley,Tiburón ,Estados Unidos,121946.0,7.1,9
Akira Kurosawa,Dersu Uzala (El cazador) ,Unión Soviética (URSS),32992.0,8.3,9
Yuri Nagibin,Dersu Uzala (El cazador) ,Unión Soviética (URSS),32992.0,8.3,9
Vladimir Arsenev,Dersu Uzala (El cazador) ,Unión Soviética (URSS),32992.0,8.3,9
Billy Wilder,Primera plana ,Estados Unidos,25474.0,8.1,9
I.A.L. Diamond,Primera plana ,Estados Unidos,25474.0,8.1,9
Ben Hecht,Primera plana ,Estados Unidos,25474.0,8.1,9
Charles MacArthur,Primera plana ,Estados Unidos,25474.0,8.1,9
Francis Ford Coppola,El padrino. Parte II ,Estados Unidos,138773.0,8.9,9
Mario Puzo,El padrino. Parte II ,Estados Unidos,138773.0,8.9,9
Mario Puzo,El padrino. Parte II ,Estados Unidos,138773.0,8.9,9
Robert Towne,Chinatown ,Estados Unidos,46614.0,7.9,9
Francis Ford Coppola,El padrino ,Estados Unidos,173966.0,9.0,9
Mario Puzo,El padrino ,Estados Unidos,173966.0,9.0,9
Mario Puzo,El padrino ,Estados Unidos,173966.0,9.0,9
