directores,titulo,pais,votos,votacion,nota
Michael Fields,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
Matthew Harrison,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
Alison Maclean,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
Victoria Hochberg,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
Martha Coolidge,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
Julian Farino,Sexo en Nueva York (Serie de TV),Estados Unidos,54705.0,6.3,4
Charles Grosvenor,En Busca del Valle Encantado VI: El Secreto de la Roca del Saurio ,Estados Unidos,1020.0,4.7,4
Don Bluth,Anastasia ,Estados Unidos,20665.0,6.4,4
Gary Goldman,Anastasia ,Estados Unidos,20665.0,6.4,4
David Lynch,Carretera perdida ,Estados Unidos,31806.0,7.4,4
Sam Pillsbury,Liberad a Willy 3. El rescate ,Estados Unidos,3155.0,3.4,4
Barry Sonnenfeld,Men in Black (Hombres de negro) ,Estados Unidos,139755.0,6.2,4
Rob Cohen,Daylight (Pánico en el túnel) ,Estados Unidos,21038.0,4.8,4
Tim Burton,Mars Attacks! ,Estados Unidos,97602.0,5.7,4
Stephen Herek,101 dálmatas. ¡Más vivos que nunca! ,Estados Unidos,16564.0,4.6,4
Roy Allen Smith,En busca del Valle Encantado IV: Viaje a la tierra de las brumas ,Estados Unidos,1481.0,4.6,4
Mamoru Oshii,Ghost in the Shell ,Japón,36218.0,7.5,4
Christian Williams,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Bruce Campbell,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Charlie Haskell,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Charles Siebert,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Michael Hurst,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Garth Maxwell,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Gus Trikonis,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
John T. Kretchmer,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Bruce Seth Green,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Philip Sgriccia,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Mark Beesley,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
John Laing,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Timothy Bond,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Peter Ellis,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
T.J. Scott,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Doug Lefler,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Oley Sassone,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Chris Graves,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Stephen L. Posey,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Harley Cokeliss,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
George Mendeluk,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Michael Lange,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Michael Levine,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Kevin Sorbo,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Anson Williams,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Rick Jacobson,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Chris Long,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
James A. Contner,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Jack Perez,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Charles Braverman,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Stewart Main,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Rob Tapert,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Rodney Charters,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Gary Jones,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Robert Trebor,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
James Whitmore Jr.,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Robert Radler,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
John Cameron,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Richard Compton,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Alan J. Levi,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
John Mahaffie,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Steve Polivka,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
David Grossman,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Andrew Merrifield,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Adam Nimoy,Hércules: Sus viajes legendarios (Serie de TV),Estados Unidos,10962.0,4.2,4
Roy Allen Smith,En busca del valle encantado II: Aventuras en el Gran Valle ,Estados Unidos,3689.0,4.8,4
Tom Spezialy,Una chica explosiva (Serie de TV),Estados Unidos,3694.0,4.8,4
Alan Cross,Una chica explosiva (Serie de TV),Estados Unidos,3694.0,4.8,4
Tom Spezialy,Una chica explosiva (Serie de TV),Estados Unidos,3694.0,4.8,4
Alan Cross,Una chica explosiva (Serie de TV),Estados Unidos,3694.0,4.8,4
David Grossman,Una chica explosiva (Serie de TV),Estados Unidos,3694.0,4.8,4
Max Tash,Una chica explosiva (Serie de TV),Estados Unidos,3694.0,4.8,4
Ricardo Méndez Mata,Una chica explosiva (Serie de TV),Estados Unidos,3694.0,4.8,4
Les Landau,Una chica explosiva (Serie de TV),Estados Unidos,3694.0,4.8,4
Mark Jean,Una chica explosiva (Serie de TV),Estados Unidos,3694.0,4.8,4
Troy Miller,Una chica explosiva (Serie de TV),Estados Unidos,3694.0,4.8,4
Christopher Hibler,Una chica explosiva (Serie de TV),Estados Unidos,3694.0,4.8,4
Michael Lange,Una chica explosiva (Serie de TV),Estados Unidos,3694.0,4.8,4
Steve Dubin,Una chica explosiva (Serie de TV),Estados Unidos,3694.0,4.8,4
Kevin Smith,Clerks ,Estados Unidos,55601.0,7.4,4
Chris Columbus,Solo en casa 2: Perdido en Nueva York ,Estados Unidos,32871.0,5.2,4
Martin Brest,Esencia de mujer ,Estados Unidos,28798.0,7.4,4
Imanol Uribe,El rey pasmado ,España,5125.0,5.7,4
Jean-Pierre Jeunet,Delicatessen ,Francia,44225.0,7.2,4
Marc Caro,Delicatessen ,Francia,44225.0,7.2,4
Dennis Dugan,Este chico es un demonio ,Estados Unidos,15682.0,4.0,4
Tommy Lee Wallace,It - Eso (TV),Estados Unidos,18378.0,5.8,4
John Musker,La sirenita ,Estados Unidos,95704.0,6.7,4
Ron Clements,La sirenita ,Estados Unidos,95704.0,6.7,4
Steven Spielberg,Indiana Jones y la última cruzada ,Estados Unidos,119560.0,7.8,4
Ken Annakin,Las nuevas aventuras de Pippi Calzaslargas ,Estados Unidos,365.0,4.4,4
John Lasseter,Tin Toy (C),Estados Unidos,4438.0,6.2,4
Stewart Raffill,El experimento Filadelfia ,Estados Unidos,4289.0,5.9,4
George Mihalka,San Valentín sangriento ,Canadá,1235.0,4.7,4
Steven Spielberg,En busca del arca perdida ,Estados Unidos,133830.0,7.8,4
Sean S. Cunningham,Viernes 13 ,Estados Unidos,35749.0,5.8,4
Hiroshi Saitô,Las aventuras de la abeja Maya (Serie de TV),Japón,8691.0,5.4,4
Seiji Endô,Las aventuras de la abeja Maya (Serie de TV),Japón,8691.0,5.4,4
Yuriy Norshteyn,Erizo en la niebla (C),Unión Soviética (URSS),2209.0,7.1,4
Ronald Neame,La aventura del Poseidón ,Estados Unidos,6470.0,6.6,4
Sam Peckinpah,Perros de paja ,Reino Unido,22148.0,7.5,4
