generos,titulo,votos,votacion,nota
Infantil,Barrio Sésamo (Serie de TV),33902.0,7.1,7
Comedia,Barrio Sésamo (Serie de TV),33902.0,7.1,7
Marionetas,Barrio Sésamo (Serie de TV),33902.0,7.1,7
Sketches,Barrio Sésamo (Serie de TV),33902.0,7.1,7
Divulgativo/Educativo,Barrio Sésamo (Serie de TV),33902.0,7.1,7
Preescolar,Barrio Sésamo (Serie de TV),33902.0,7.1,7
Terror,La noche de los muertos vivientes ,36284.0,7.1,7
Gore,La noche de los muertos vivientes ,36284.0,7.1,7
Zombis,La noche de los muertos vivientes ,36284.0,7.1,7
Película de culto,La noche de los muertos vivientes ,36284.0,7.1,7
